label,source,dataset,sample_number,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,has_content_type,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
0,met,image_anomaly_benign,284,met_551350_additional_002.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_002.jpg,3085698,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,60,7.95030097849238,6.321483489100105,0.3745334118893035,0.012325574310901456,256,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,285,met_551350_additional_003.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_003.jpg,2638339,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,47,7.930584803469203,6.365675765979199,0.37295321033422923,0.014302938325969483,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,286,met_551350_additional_004.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_004.jpg,2790572,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,50,7.93815717807393,6.356011241758025,0.3698689730994219,0.013681066104010218,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,287,met_551350_additional_005.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_005.jpg,2462821,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,46,7.949162010831494,6.325393852084277,0.3719567926373861,0.01256770183460349,256,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,288,met_551350_additional_006.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_006.jpg,1046470,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,11,7.90953526462903,4.889998060770651,0.38151690922816706,0.017706193201907364,256,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,289,met_551350_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_primary_000.jpg,2623764,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,48,7.950539946543171,6.321920699677467,0.3723391280618226,0.012467203605202298,256,17,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,290,met_551422_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_551422_primary_000.jpg,183208,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,3,7.750414068244656,5.206518230220605,0.4372789397842889,0.030533601152788088,256,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,291,met_552299_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_552299_primary_000.jpg,564881,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,7,7.920666738882562,7.22713220970735,0.37759634330062436,0.009586089813606759,256,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,292,met_55516_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_55516_primary_000.jpg,2128541,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,45,7.989229148098334,3.4166477975996146,0.3762934329195444,0.00794534848048499,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,293,met_558330_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_558330_primary_000.jpg,207379,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,2,7.912018699853222,7.348353642617586,0.36834973647283475,0.008361502370056756,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,294,met_558514_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_558514_primary_000.jpg,842946,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,25,7.535268045667843,6.322738824793774,0.34486906634588693,0.11444505341979201,256,18,0,2,0,0,0,2,2,0,0,0,0,0.0,0
0,met,image_anomaly_benign,295,met_56066_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_56066_primary_000.jpg,1724933,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,30,7.9824426060206735,3.4717151260966204,0.37531370783676815,0.008393369481597256,256,6,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,296,met_56572_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_56572_primary_000.jpg,1228351,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,9,7.917780794299752,4.873370120581353,0.3776534557304875,0.017473832805118408,256,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,297,met_56754_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_56754_primary_000.jpg,2010254,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,41,7.982622186748134,3.402785699541339,0.37534958268955065,0.008986924040444641,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
